date value parameter land_use
2012-1-17 0.355825 theta_EHD loc2
2012-1-17 88.9563 sw_EHD loc2
2012-1-17 0.344322 theta_soil loc2
2012-1-17 0 dsc loc2
2012-1-17 0 infil2 loc3
2012-1-17 0 infil loc3
2012-1-17 0 toDistribute loc3
2012-1-17 0 dailySurplus loc3
2012-1-17 225 availablePoreDepth loc3
2012-1-17 500 EHD loc3
2012-1-17 3583.59 SD loc3
2012-1-17 -4.08359 G loc3
2012-1-17 0.45 theta_EHD loc3
2012-1-17 225 sw_EHD loc3
2012-1-17 0.449856 theta_soil loc3
2012-1-17 0 dsc loc3
2012-1-18 0 infil2 loc1
2012-1-18 0 infil loc1
2012-1-18 0 toDistribute loc1
2012-1-18 0 dailySurplus loc1
2012-1-18 7.88835 availablePoreDepth loc1
2012-1-18 111.111 EHD loc1
2012-1-18 2140.12 SD loc1
2012-1-18 -2.25124 G loc1
2012-1-18 0.379005 theta_EHD loc1
2012-1-18 42.1116 sw_EHD loc1
2012-1-18 0.276047 theta_soil loc1
2012-1-18 0.0616645 dsc loc1
2012-1-18 0 infil2 loc2
2012-1-18 0 infil loc2
2012-1-18 0 toDistribute loc2
2012-1-18 0 dailySurplus loc2
2012-1-18 36.0437 availablePoreDepth loc2
2012-1-18 250 EHD loc2
2012-1-18 3569.05 SD loc2
2012-1-18 -3.81905 G loc2
2012-1-18 0.355825 theta_EHD loc2
2012-1-18 88.9563 sw_EHD loc2
2012-1-18 0.344335 theta_soil loc2
2012-1-18 0 dsc loc2
2012-1-18 0 infil2 loc3
2012-1-18 0 infil loc3
2012-1-18 0 toDistribute loc3
2012-1-18 0 dailySurplus loc3
2012-1-18 225 availablePoreDepth loc3
2012-1-18 500 EHD loc3
2012-1-18 3583.66 SD loc3
2012-1-18 -4.08366 G loc3
2012-1-18 0.45 theta_EHD loc3
2012-1-18 225 sw_EHD loc3
2012-1-18 0.449847 theta_soil loc3
2012-1-18 0 dsc loc3
2012-1-19 0 infil2 loc1
2012-1-19 0 infil loc1
2012-1-19 0 toDistribute loc1
2012-1-19 0 dailySurplus loc1
2012-1-19 7.88835 availablePoreDepth loc1
2012-1-19 111.111 EHD loc1
2012-1-19 2140.08 SD loc1
2012-1-19 -2.25119 G loc1
2012-1-19 0.379005 theta_EHD loc1
2012-1-19 42.1116 sw_EHD loc1
2012-1-19 0.276053 theta_soil loc1
2012-1-19 0.0616645 dsc loc1
2012-1-19 0 infil2 loc2
2012-1-19 0 infil loc2
2012-1-19 0 toDistribute loc2
2012-1-19 0 dailySurplus loc2
2012-1-19 36.0437 availablePoreDepth loc2
2012-1-19 250 EHD loc2
2012-1-19 3568.91 SD loc2
2012-1-19 -3.81891 G loc2
2012-1-19 0.355825 theta_EHD loc2
2012-1-19 88.9563 sw_EHD loc2
