date q_drain q_overland q_stream q_lake e_drain e_overland e_gully
2012-8-24 11400.5 59181.6 3.93542 0 0 0 0
2012-8-25 9712.22 52636.8 3.92773 0 0 0 0
2012-8-26 14908.9 69173.5 3.99076 0 0 0 0
2012-8-27 17503.5 86130.5 4.04861 0 0 0 0
2012-8-28 13367 41592.8 3.98683 0 0 0 0
2012-8-29 11780.1 48812.2 3.9968 0 0 0 0
2012-8-30 15233.6 64484.4 4.0932 0 0 0 0
2012-8-31 12351 54218.1 4.0726 0 0 0 0
2012-9-1 11152.5 63361.3 4.11033 0 0 0 0
2012-9-2 10400.9 59260.8 3.95199 0 0 0 0
2012-9-3 11565.1 58966.5 3.98726 0 0 0 0
2012-9-4 9802.65 65006.4 4.0228 0 0 0 0
2012-9-5 9433.04 59762.4 4.1118 0 0 0 0
2012-9-6 9732.35 65154.5 4.05329 0 0 0 0
2012-9-7 8799.09 62952.3 4.07979 0 0 0 0
2012-9-8 9643.79 66157.7 4.1292 0 0 0 0
2012-9-9 8607.59 64378.4 4.12757 0 0 0 0
2012-9-10 8318.54 65605.9 4.20945 0 0 0 0
2012-9-11 8053.57 66245.9 4.03492 0 0 0 0
2012-9-12 7909.46 66670.8 4.08803 0 0 0 0
2012-9-13 8672.27 68565.7 4.11668 0 0 0 0
2012-9-14 8356.23 69224 4.14643 0 0 0 0
2012-9-15 15950 92947.6 4.18526 0 0 0 0
2012-9-16 13191.2 68296.2 4.17343 0 0 0 0
2012-9-17 11152.6 66880.6 4.21532 0 0 0 0
2012-9-18 15677.3 80235.5 4.15923 0 0 0 0
2012-9-19 20798.6 126505 4.2854 0 0 0 0
2012-9-20 20791.9 93658.7 4.24133 0 0 0 0
2012-9-21 13514.9 46749.6 4.12758 0 0 0 0
2012-9-22 12303.3 62414.7 4.1434 0 0 0 0
2012-9-23 11150.4 69370.9 4.29413 0 0 0 0
2012-9-24 12573.5 75312 4.14117 0 0 0 0
2012-9-25 10442.3 78448 4.2007 0 0 0 0
2012-9-26 9804.29 75711 4.33482 0 0 0 0
2012-9-27 26971.4 171790 4.23214 0 0 0 0
2012-9-28 21224.8 113442 4.33623 0 0 0 0
2012-9-29 13126 47955.3 4.27824 0 0 0 0
2012-9-30 23543.4 129562 4.27498 0 0 0 0
2012-10-1 13440 53077.7 4.22091 0 0 0 0
2012-10-2 15060.8 85500.3 4.35139 0 0 0 0
2012-10-3 11413.1 64029 4.22341 0 0 0 0
2012-10-4 10370.8 85306.3 4.22224 0 0 0 0
2012-10-5 23769.7 143119 4.27852 0 0 0 0
2012-10-6 11923.1 64980 4.3956 0 0 0 0
2012-10-7 10566.9 89222.3 4.31507 0 0 0 0
2012-10-8 9420.65 72773 4.34441 0 0 0 0
2012-10-9 8579.03 84511 4.44601 0 0 0 0
2012-10-10 19822.8 123628 4.46029 0 0 0 0
2012-10-11 10704.5 74509.6 4.32089 0 0 0 0
2012-10-12 9897.76 97646.6 4.29746 0 0 0 0
2012-10-13 9124.84 80823.3 4.37127 0 0 0 0
2012-10-14 8307.42 88177 4.41016 0 0 0 0
2012-10-15 7989.61 95083.6 4.28944 0 0 0 0
2012-10-16 12776.4 105868 4.35553 0 0 0 0
2012-10-17 10236.5 85779.7 4.36866 0 0 0 0
2012-10-18 24491.8 175608 4.4246 0 0 0 0
2012-10-19 15371 89211.3 4.44394 0 0 0 0
2012-10-20 20472.3 120829 4.43446 0 0 0 0
2012-10-21 12781.7 64049 4.45238 0 0 0 0
2012-10-22 27677.5 182561 4.50453 0 0 0 0
2012-10-23 13057.5 67211.9 4.39894 0 0 0 0
2012-10-24 11549.6 93876.2 4.3975 0 0 0 0
2012-10-25 10061.3 82091.4 4.42909 0 0 0 0
2012-10-26 9716.61 100991 4.52663 0 0 0 0
2012-10-27 8323.88 105932 4.45291 0 0 0 0
2012-10-28 7960.2 103210 4.51193 0 0 0 0
2012-10-29 7637.31 185873 4.46137 0 0 0 0
2012-10-30 7458.29 133141 4.5844 0 0 0 0
2012-10-31 7505.62 119646 4.53674 0 0 0 0
2012-11-1 7285.68 101265 4.49125 0 0 0 0
2012-11-2 27841.4 146285 4.39593 0 0 0 0
2012-11-3 29626.9 167164 4.51643 0 0 0 0
2012-11-4 22713.4 134793 4.50681 0 0 0 0
2012-11-5 19243.9 95379.2 4.4207 0 0 0 0
2012-11-6 13447.4 76314.1 4.49242 0 0 0 0
2012-11-7 11642.1 168406 4.55294 0 0 0 0
2012-11-8 10384.2 136010 4.51296 0 0 0 0
2012-11-9 9521.13 120063 4.51823 0 0 0 0
2012-11-10 9128.43 125045 4.58152 0 0 0 0
2012-11-11 17141.5 95951.3 4.63881 0 0 0 0
2012-11-12 17520.1 108830 4.55042 0 0 0 0
2012-11-13 16627.1 111289 4.56541 0 0 0 0
2012-11-14 12065.2 149807 4.53597 0 0 0 0
2012-11-15 11671 82097.8 4.59653 0 0 0 0
2012-11-16 10219.2 93323.8 4.58931 0 0 0 0
2012-11-17 8777.51 93480.4 4.56679 0 0 0 0
2012-11-18 8312.64 129138 4.63223 0 0 0 0
2012-11-19 24119.9 218493 4.6205 0 0 0 0
2012-11-20 11079.1 95200.1 4.53579 0 0 0 0
2012-11-21 14289.6 114540 4.5343 0 0 0 0
2012-11-22 13431.5 111428 4.64706 0 0 0 0
2012-11-23 13890.9 133819 4.62957 0 0 0 0
2012-11-24 13647.6 127561 4.6153 0 0 0 0
2012-11-25 11964.6 121202 4.60937 0 0 0 0
2012-11-26 9298.01 206546 4.57672 0 0 0 0
2012-11-27 8751.52 94932.2 4.59979 0 0 0 0
2012-11-28 8439.48 168754 4.71839 0 0 0 0
2012-11-29 8526.46 95684.5 4.66744 0 0 0 0
