date	q_ls
19.04.2015	13.6
20.04.2015	12.6
21.04.2015	12.1
22.04.2015	11.5
23.04.2015	11.6
24.04.2015	10.7
25.04.2015	11.7
26.04.2015	10.3
27.04.2015	9.1
28.04.2015	8.3
29.04.2015	8
30.04.2015	15.3
01.05.2015	11.1
02.05.2015	9.1
03.05.2015	7.8
04.05.2015	12.5
05.05.2015	28.3
06.05.2015	91.2
07.05.2015	66.8
08.05.2015	63.2
09.05.2015	33.6
10.05.2015	145
11.05.2015	166
12.05.2015	334
13.05.2015	192
14.05.2015	80.2
15.05.2015	46.8
16.05.2015	45.5
17.05.2015	57.9
18.05.2015	39.2
19.05.2015	41.1
20.05.2015	35.4
21.05.2015	24.4
22.05.2015	21.8
23.05.2015	18.1
24.05.2015	18.1
25.05.2015	22.4
26.05.2015	17.3
27.05.2015	13.9
28.05.2015	25.3
29.05.2015	25.3
30.05.2015	144
31.05.2015	79.2
01.06.2015	55.6
02.06.2015	430
03.06.2015	189
04.06.2015	62.9
05.06.2015	37.7
06.06.2015	63.4
07.06.2015	52.9
08.06.2015	28.7
09.06.2015	19.4
10.06.2015	15.9
11.06.2015	12.5
12.06.2015	9.7
13.06.2015	8.4
14.06.2015	8.1
15.06.2015	6.6
16.06.2015	4.8
17.06.2015	11.4
18.06.2015	11.2
19.06.2015	8.1
20.06.2015	5.3
21.06.2015	4.2
22.06.2015	4.1
23.06.2015	3.6
24.06.2015	4.4
25.06.2015	3.4
26.06.2015	2.7
27.06.2015	2.2
28.06.2015	2.1
29.06.2015	2.2
30.06.2015	2
01.07.2015	1.4
02.07.2015	1.2
03.07.2015	1.1
04.07.2015	1.1
05.07.2015	1
06.07.2015	6.1
07.07.2015	3.7
08.07.2015	192
09.07.2015	100
10.07.2015	22.9
11.07.2015	10.5
12.07.2015	7.1
13.07.2015	9.3
14.07.2015	7
15.07.2015	6.3
16.07.2015	4.8
17.07.2015	3.2
18.07.2015	4
19.07.2015	2.7
20.07.2015	2.6
21.07.2015	4.3
22.07.2015	2.8
23.07.2015	1.9
24.07.2015	1.5
25.07.2015	1.9
26.07.2015	21.9
27.07.2015	7.6
28.07.2015	10.5
29.07.2015	12.3
30.07.2015	10.5
31.07.2015	5.5
01.08.2015	3.5
02.08.2015	8.9
03.08.2015	4.2
04.08.2015	5.5
05.08.2015	350
06.08.2015	69.9
07.08.2015	180
08.08.2015	86.4
09.08.2015	34.1
10.08.2015	19.8
11.08.2015	14.7
12.08.2015	10.5
13.08.2015	7.4
14.08.2015	6
15.08.2015	4.8
16.08.2015	3.8
17.08.2015	3.2
18.08.2015	2.9
19.08.2015	2.5
20.08.2015	2.3
21.08.2015	2.1
22.08.2015	2
23.08.2015	1.8
24.08.2015	2.8
25.08.2015	28.9
