date Q_m3d source
2012-5-26 3.33888 stream
2012-5-26 0 lake
2012-5-27 8826.79 drain
2012-5-27 20913 overland
2012-5-27 3.10909 stream
2012-5-27 0 lake
2012-5-28 8540.22 drain
2012-5-28 23080.4 overland
2012-5-28 3.19956 stream
2012-5-28 0 lake
2012-5-29 8330.04 drain
2012-5-29 18449.5 overland
2012-5-29 3.19986 stream
2012-5-29 0 lake
2012-5-30 8134.63 drain
2012-5-30 20163.9 overland
2012-5-30 3.18881 stream
2012-5-30 0 lake
2012-5-31 8045.65 drain
2012-5-31 19281.2 overland
2012-5-31 3.2628 stream
2012-5-31 0 lake
2012-6-1 7942.3 drain
2012-6-1 26773.2 overland
2012-6-1 3.21004 stream
2012-6-1 0 lake
2012-6-2 11463.3 drain
2012-6-2 25102.9 overland
2012-6-2 3.33621 stream
2012-6-2 0 lake
2012-6-3 9002.84 drain
2012-6-3 20046.3 overland
2012-6-3 3.16969 stream
2012-6-3 0 lake
2012-6-4 8944.17 drain
2012-6-4 23777.5 overland
2012-6-4 3.24353 stream
2012-6-4 0 lake
2012-6-5 9910.86 drain
2012-6-5 18789.9 overland
2012-6-5 3.35999 stream
2012-6-5 0 lake
2012-6-6 8934.32 drain
2012-6-6 23619.2 overland
2012-6-6 3.21961 stream
2012-6-6 0 lake
2012-6-7 9013.65 drain
2012-6-7 25351 overland
2012-6-7 3.3647 stream
2012-6-7 0 lake
2012-6-8 8633.62 drain
2012-6-8 20586.6 overland
2012-6-8 3.23935 stream
2012-6-8 0 lake
2012-6-9 8400.48 drain
2012-6-9 22086 overland
2012-6-9 3.32648 stream
2012-6-9 0 lake
2012-6-10 8955.86 drain
2012-6-10 24610.6 overland
2012-6-10 3.33114 stream
2012-6-10 0 lake
2012-6-11 8309.78 drain
2012-6-11 22935.6 overland
2012-6-11 3.30656 stream
2012-6-11 0 lake
2012-6-12 9095.8 drain
2012-6-12 28810.9 overland
2012-6-12 3.4339 stream
2012-6-12 0 lake
2012-6-13 8342.69 drain
2012-6-13 22574.7 overland
2012-6-13 3.35257 stream
2012-6-13 0 lake
2012-6-14 8254.83 drain
2012-6-14 26547.6 overland
2012-6-14 3.35221 stream
2012-6-14 0 lake
2012-6-15 8070.81 drain
2012-6-15 20035 overland
2012-6-15 3.43841 stream
2012-6-15 0 lake
2012-6-16 8482.17 drain
