date value parameter land_use
2012-1-16 225 sw_EHD loc3
2012-1-16 0.449993 theta_soil loc3
2012-1-16 0 dsc loc3
2012-1-16 0 infil2 loc2
2012-1-16 0 infil loc2
2012-1-16 0 toDistribute loc2
2012-1-16 0 dailySurplus loc2
2012-1-16 21.1935 availablePoreDepth loc2
2012-1-16 250 EHD loc2
2012-1-16 4414.54 SD loc2
2012-1-16 -4.66454 G loc2
2012-1-16 0.415226 theta_EHD loc2
2012-1-16 103.806 sw_EHD loc2
2012-1-16 0.292637 theta_soil loc2
2012-1-16 0 dsc loc2
2012-1-16 0 infil2 loc1
2012-1-16 0 infil loc1
2012-1-16 0 toDistribute loc1
2012-1-16 0 dailySurplus loc1
2012-1-16 8.15742 availablePoreDepth loc1
2012-1-16 133.333 EHD loc1
2012-1-16 3656.7 SD loc1
2012-1-16 -3.79003 G loc1
2012-1-16 0.390819 theta_EHD loc1
2012-1-16 52.1091 sw_EHD loc1
2012-1-16 0.357288 theta_soil loc1
2012-1-16 0.441393 dsc loc1
2012-1-17 0 infil2 loc3
2012-1-17 0 infil loc3
2012-1-17 0 toDistribute loc3
2012-1-17 0 dailySurplus loc3
2012-1-17 225 availablePoreDepth loc3
2012-1-17 500 EHD loc3
2012-1-17 3783.32 SD loc3
2012-1-17 -4.28332 G loc3
2012-1-17 0.45 theta_EHD loc3
2012-1-17 225 sw_EHD loc3
2012-1-17 0.44993 theta_soil loc3
2012-1-17 0 dsc loc3
2012-1-17 0 infil2 loc2
2012-1-17 0 infil loc2
2012-1-17 0 toDistribute loc2
2012-1-17 0 dailySurplus loc2
2012-1-17 21.1935 availablePoreDepth loc2
2012-1-17 250 EHD loc2
2012-1-17 4438.09 SD loc2
2012-1-17 -4.68809 G loc2
2012-1-17 0.415226 theta_EHD loc2
2012-1-17 103.806 sw_EHD loc2
2012-1-17 0.291084 theta_soil loc2
2012-1-17 0 dsc loc2
2012-1-17 0 infil2 loc1
2012-1-17 0 infil loc1
2012-1-17 0 toDistribute loc1
2012-1-17 0 dailySurplus loc1
2012-1-17 8.15742 availablePoreDepth loc1
2012-1-17 133.333 EHD loc1
2012-1-17 3638.29 SD loc1
2012-1-17 -3.77162 G loc1
2012-1-17 0.390819 theta_EHD loc1
2012-1-17 52.1091 sw_EHD loc1
2012-1-17 0.359096 theta_soil loc1
2012-1-17 0.441393 dsc loc1
2012-1-18 0 infil2 loc3
2012-1-18 0 infil loc3
2012-1-18 0 toDistribute loc3
2012-1-18 0 dailySurplus loc3
2012-1-18 225 availablePoreDepth loc3
2012-1-18 500 EHD loc3
2012-1-18 3783.91 SD loc3
2012-1-18 -4.28391 G loc3
2012-1-18 0.45 theta_EHD loc3
2012-1-18 225 sw_EHD loc3
2012-1-18 0.44986 theta_soil loc3
2012-1-18 0 dsc loc3
2012-1-18 0 infil2 loc2
2012-1-18 0 infil loc2
2012-1-18 0 toDistribute loc2
2012-1-18 0 dailySurplus loc2
2012-1-18 21.1935 availablePoreDepth loc2
2012-1-18 250 EHD loc2
2012-1-18 4460.12 SD loc2
2012-1-18 -4.71012 G loc2
2012-1-18 0.415226 theta_EHD loc2
2012-1-18 103.806 sw_EHD loc2
2012-1-18 0.289646 theta_soil loc2
2012-1-18 0 dsc loc2
2012-1-18 0 infil2 loc1
2012-1-18 0 infil loc1
2012-1-18 0 toDistribute loc1
2012-1-18 0 dailySurplus loc1
2012-1-18 8.15742 availablePoreDepth loc1
2012-1-18 133.333 EHD loc1
2012-1-18 3620.45 SD loc1
2012-1-18 -3.75378 G loc1
2012-1-18 0.390819 theta_EHD loc1
2012-1-18 52.1091 sw_EHD loc1
2012-1-18 0.360865 theta_soil loc1
2012-1-18 0.441393 dsc loc1
2012-1-19 0 infil2 loc3
2012-1-19 0 infil loc3
2012-1-19 0 toDistribute loc3
2012-1-19 0 dailySurplus loc3
2012-1-19 225 availablePoreDepth loc3
2012-1-19 500 EHD loc3
2012-1-19 3784.52 SD loc3
2012-1-19 -4.28452 G loc3
2012-1-19 0.45 theta_EHD loc3
2012-1-19 225 sw_EHD loc3
2012-1-19 0.449786 theta_soil loc3
2012-1-19 0 dsc loc3
2012-1-19 0 infil2 loc2
2012-1-19 0 infil loc2
2012-1-19 0 toDistribute loc2
2012-1-19 0 dailySurplus loc2
2012-1-19 21.1935 availablePoreDepth loc2
2012-1-19 250 EHD loc2
2012-1-19 4480.76 SD loc2
2012-1-19 -4.73076 G loc2
2012-1-19 0.415226 theta_EHD loc2
2012-1-19 103.806 sw_EHD loc2
2012-1-19 0.288312 theta_soil loc2
2012-1-19 0 dsc loc2
2012-1-19 0 infil2 loc1
2012-1-19 0 infil loc1
2012-1-19 0 toDistribute loc1
2012-1-19 0 dailySurplus loc1
2012-1-19 8.15742 availablePoreDepth loc1
2012-1-19 133.333 EHD loc1
2012-1-19 3603.12 SD loc1
2012-1-19 -3.73645 G loc1
2012-1-19 0.390819 theta_EHD loc1
2012-1-19 52.1091 sw_EHD loc1
2012-1-19 0.362601 theta_soil loc1
2012-1-19 0.441393 dsc loc1
2012-1-20 0 infil2 loc3
2012-1-20 0 infil loc3
2012-1-20 0 toDistribute loc3
2012-1-20 0 dailySurplus loc3
2012-1-20 225 availablePoreDepth loc3
2012-1-20 500 EHD loc3
2012-1-20 3785.17 SD loc3
2012-1-20 -4.28517 G loc3
2012-1-20 0.45 theta_EHD loc3
2012-1-20 225 sw_EHD loc3
2012-1-20 0.449709 theta_soil loc3
2012-1-20 0 dsc loc3
2012-1-20 0 infil2 loc2
2012-1-20 0 infil loc2
2012-1-20 0 toDistribute loc2
2012-1-20 0 dailySurplus loc2
2012-1-20 21.1935 availablePoreDepth loc2
2012-1-20 250 EHD loc2
2012-1-20 4500.11 SD loc2
2012-1-20 -4.75011 G loc2
2012-1-20 0.415226 theta_EHD loc2
2012-1-20 103.806 sw_EHD loc2
2012-1-20 0.287073 theta_soil loc2
2012-1-20 0 dsc loc2
2012-1-20 0 infil2 loc1
2012-1-20 0 infil loc1
2012-1-20 0 toDistribute loc1
2012-1-20 0 dailySurplus loc1
2012-1-20 8.15742 availablePoreDepth loc1
2012-1-20 133.333 EHD loc1
2012-1-20 3586.23 SD loc1
2012-1-20 -3.71957 G loc1
2012-1-20 0.390819 theta_EHD loc1
2012-1-20 52.1091 sw_EHD loc1
2012-1-20 0.364309 theta_soil loc1
2012-1-20 0.441393 dsc loc1
2012-1-21 0 infil2 loc3
2012-1-21 0 infil loc3
2012-1-21 0 toDistribute loc3
2012-1-21 0 dailySurplus loc3
2012-1-21 225 availablePoreDepth loc3
2012-1-21 500 EHD loc3
2012-1-21 3785.85 SD loc3
2012-1-21 -4.28585 G loc3
2012-1-21 0.45 theta_EHD loc3
